umls_cui_from_meddra	side_effect_name
C0311468	Increased bilirubin level (finding)
C0085607	Increased blood volume
C1262144	Increased bronchial secretion
C0595938	Increased effect
C0042023	Increased frequency of micturition
C0232410	Increased hair growth (finding)
C0235409	Increased insulin requirement
C0747979	Increased prolactin level
C0700590	Increased sweating
C0423798	Increased tendency to bruise
C0241379	Increased thirst
C1328308	Increased upper airway secretion
C1096275	Increased viscosity of bronchial secretion
C0085632	Indifferent mood
C0332534	Induration
C0021294	Infant, Premature
C0021308	Infarction
C0267406	Infarction mesenteric
C0333559	Infarction, Lacunar
C0850638	Infected bites
C1142249	Infected cyst
C1323189	Infected dermatitis
C1322253	Infected eczema
C0010414	Infection by Cryptococcus neoformans
C0276908	Infection by Pneumocystis jirovecii (disorder)
C0002631	Infection of amniotic cavity
C0699744	Infection of ear
C0021313	Infection of kidney
C3160756	Infection reactivation
C0236171	Infection susceptibility increased
C0021345	Infectious Mononucleosis
C1264610	Infectious peritonitis
C2721563	Infectious pneumonitis
C0497209	Infective conjunctivitis
C0600041	Infective cystitis
C0847403	Infective tenosynovitis
C0404521	Infective vaginitis
C0340305	Inferior Wall Myocardial Infarction
C0265072	Inferior vena cava syndrome
C0021359	Infertility
C0851341	Infestation
C0021368	Inflammation
C0522570	Inflammation localised
C0021390	Inflammatory Bowel Diseases
C0234939	Inflammatory swelling
C0549356	Inflicted injury
C0021400	Influenza
C0521839	Influenza like illness
C0392171	Influenza-like symptoms
C1167677	Infrequent bowel movements
C1697883	Infusion related pain
C0948715	Infusion related reaction
C0877606	Infusion site burning
C0877365	Infusion site erythema
C1608954	Infusion site extravasation
C1096034	Infusion site induration
C1096714	Infusion site infection
C1112470	Infusion site inflammation
C1695897	Infusion site irritation
C0919986	Infusion site oedema
C1096035	Infusion site pain
C1096460	Infusion site phlebitis
C1096091	Infusion site pruritus
C1167945	Infusion site rash
C1096343	Infusion site reaction
C1096049	Infusion site swelling
C1699201	Infusion site thrombophlebitis
C1697542	Infusion site thrombosis
C1698976	Infusion site urticaria
C1096036	Infusion site warmth
C0155866	Inhalational anthrax
C0020640	Inherited Factor II deficiency
C0393760	Initial insomnia
C0151464	Injection site abscess
C0151512	Injection site atrophy
C0521508	Injection site bruising
C0521503	Injection site burning
C0919590	Injection site cellulitis
C0919593	Injection site coldness
C0151584	Injection site cyst
C0521505	Injection site dermatitis
C0948991	Injection site discolouration
C1096267	Injection site discomfort
C1868843	Injection site dryness
C0852625	Injection site erythema
C2363949	Injection site exfoliation
C0521500	Injection site extravasation
C0151649	Injection site fibrosis
C0085654	Injection site granuloma
C0542008	Injection site haematoma
C0151698	Injection site hemorrhage
C0151726	Injection site hypersensitivity
C0521509	Injection site induration
C0221714	Injection site infection
C0151734	Injection site inflammation
C1737214	Injection site injury
C0521498	Injection site irritation
C0877179	Injection site joint pain
C0151795	Injection site necrosis
C0151828	Injection site pain
C1735322	Injection site pallor
C0521506	Injection site paraesthesia
C0542149	Injection site phlebitis
C0521499	Injection site pigmentation changes
C0852995	Injection site pruritus
C0151735	Injection site reaction
C1142080	Injection site stinging
C0151605	Injection site swelling
C0863083	Injection site tenderness
C0521501	Injection site thrombosis
C0521507	Injection site ulcer
C0392196	Injection site urticaria
C0854431	Injection site vesicles
C0858934	Injection site warmth
C0948352	Injury asphyxiation
C2747853	Injury associated with device
C0043250	Injury wounds
C1168225	Inner ear infection
C0021564	Insect Bites
C0021605	Insomnia NEC
C0852928	Insomnia exacerbated
C0428167	Inspired fraction of oxygen
C0542051	Instability vasomotor
C1096668	Instillation site irritation
C0858797	Instillation site pain
C0861020	Insulin C-peptide decreased
C0861021	Insulin C-peptide increased
C0021655	Insulin Resistance
C1527401	Insulin Shock
C0854359	Insulin autoimmune syndrome
C1696685	Intentional drug misuse
C0151737	Intentional injury
C1142159	Intentional misuse
C0853089	Intentional self-injury
C0021775	Intermittent Claudication
C0021776	Intermittent Explosive Disorder
C0277799	Intermittent fever
C1168188	Intermittent headache
C0580417	International normalised ratio abnormal
C0853226	International normalised ratio decreased
C0853225	International normalised ratio increased
C0282488	Interstitial Cystitis
C0021807	Intertrigo
C0014718	Intertrigo candida
C0158266	Intervertebral Disc Degeneration
C0158252	Intervertebral disc disorder
C0021831	Intestinal Diseases
C0021843	Intestinal Obstruction
C0021845	Intestinal Perforation
C0021847	Intestinal Pseudo-Obstruction
C0042961	Intestinal Volvulus
C0877617	Intestinal cramps
C1608953	Intestinal diaphragm disease
C0016807	Intestinal functional disorder
C0267373	Intestinal haemorrhage
C0948389	Intestinal hypomotility
C0241950	Intestinal infarction
C1142163	Intestinal mass
C2243080	Intestinal necrosis
C1142178	Intestinal stoma complication
C0151971	Intestinal ulcer
C0231274	Intolerant of heat
C0728899	Intoxication
C0473120	Intra-abdominal haematoma
C1112209	Intraabdominal Infections
C0236178	Intraabdominal hemorrhage
C0876998	Intracardiac thrombus
C0007766	Intracranial Aneurysm
C0151699	Intracranial Hemorrhages
C0151740	Intracranial Hypertension
C0338573	Intracranial venous sinus thrombosis
C0008372	Intrahepatic Cholestasis
C1868790	Intranasal hypoaesthesia
C0234708	Intraocular pressure increased
C1688637	Intraoperative floppy iris syndrome
C3665900	Intraspinal bleeding
C0021899	Intrauterine Device Expulsion
C0264909	Intraventricular conduction defect
C0240059	Intraventricular haemorrhage
C0021933	Intussusception
C0853879	Invasive Breast Carcinoma
C0520888	Inverted T wave
C0427086	Involuntary Movements
C0238201	Iodine poisoning
C0022073	Iridocyclitis
C0022078	Iris Diseases
C0877306	Iris hyperpigmentation
C0022081	Iritis
C0282193	Iron Overload
C1283048	Iron binding capacity total measurement
C0240066	Iron deficiency
C0162316	Iron deficiency anemia
C0085576	Iron-Refractory Iron Deficiency Anemia
C0237314	Irregular heart beat
C0860433	Irreversible renal failure
C0022104	Irritable Bowel Syndrome
C0022107	Irritable Mood
C0877508	Irritation gum
C1262005	Ischaemic cerebral infarction
C0473117	Ischaemic hepatitis
C0238309	Ischaemic neuropathy
C0022116	Ischemia
C0349782	Ischemic cardiomyopathy
C0948008	Ischemic stroke
C0549346	Ischial neuralgia
C0858708	Itch burning
C0022281	Itching of eye
C0259756	Jarisch-Herxheimer reaction
C1262535	Jaundice hepatocellular
C0022354	Jaundice, Obstructive
C0022362	Jaw Diseases
C0236000	Jaw pain
C0549250	Jaw stiffness
C0580181	Jessner's lymphocytic infiltration
C0022410	Joint Instability
C0009918	Joint contracture
C0231592	Joint crepitation
C0409497	Joint injury
C0547000	Joint lock
C0877027	Joint range of motion decreased
C0434437	Joint sprain
C0162298	Joint stiffness
C0152031	Joint swelling
C0233818	Judgement impaired
C0745499	Junctional bradycardia
C3495559	Juvenile arthritis
C0036220	Kaposi Sarcoma
C0022504	Kaposi Varicelliform Eruption
C0022541	Kearns-Sayre syndrome
C0423285	Keratic precipitates
C0022568	Keratitis
C2930821	Keratitis sicca
C0019357	Keratitis, Herpetic
C0022573	Keratoconjunctivitis
C0022575	Keratoconjunctivitis Sicca
C0022578	Keratoconus
C0235270	Keratopathy
C0022593	Keratosis
C0263383	Keratosis pilaris
C0220982	Ketoacidosis
C0259972	Ketogenic Diet
C0235430	Ketonemia
C0162275	Ketonuria
C0022638	Ketosis
C0206180	Ki-1+ Anaplastic Large Cell Lymphoma
C0022650	Kidney Calculi
C0022656	Kidney Cortex Necrosis
C0022658	Kidney Diseases
C0035078	Kidney Failure
C0022660	Kidney Failure, Acute
C0022661	Kidney Failure, Chronic
C0022665	Kidney Neoplasm
C0022667	Kidney Papillary Necrosis
C0022672	Kidney Tubular Necrosis, Acute
C0151650	Kidney fibrosis
C0151746	Kidney function abnormal
C0745528	Klebsiella sepsis
C0022735	Klinefelter Syndrome
C0576091	Knee deformity
C0576093	Knee joint valgus deformity
C0231749	Knee pain
C0272891	Knee sprain
C0263367	Koebner phenomenon
C0268671	Korsakoff's psychosis (non-alcoholic)
C2609176	Kounis syndrome
C0022821	Kyphosis deformity of spine
C0428895	Labile blood pressure
C3665418	Labile hypertension
C0438215	Laboratory test abnormal
C0553668	Labored breathing
C0022890	Labyrinthine disorder
C0022893	Labyrinthitis
C0043246	Laceration
C0151810	Lack of drug effect
C2981158	Lack of libido
C0855217	Lack of spontaneous speech
C0022904	Lacrimal Apparatus Diseases
C0022906	Lacrimal Duct Obstruction
C0235228	Lacrimal gland disorder
C3495920	Lacrimal structural disorder
C0423153	Lacrimation
C0235901	Lacrimation abnormal
C0235857	Lacrimation decreased
C0302813	Lactase deficiency (disorder)
C0860752	Lactate increased
C1142358	Lactic acidosis syndrome
C0151754	Lactic dehydrogenase activity increased
C0022951	Lactose Intolerance
C0948425	Large intestinal haemorrhage
C0460048	Large intestinal obstruction
C0151738	Large intestine perforation
C0949059	Large intestine polyp
C0023051	Laryngeal Diseases
C0023052	Laryngeal Edema
C1697747	Laryngeal haemorrhage
C0023055	Laryngeal neoplasm
C0023066	Laryngismus
C0023067	Laryngitis
C0023070	Laryngopharyngitis
C0235551	Laryngotracheal oedema
C0549373	Larynx pain
C0086525	Lassitude
C1609538	Latent Tuberculosis
C0948266	Latent tetany
C0577628	Latex allergy
C0751265	Learning Disabilities
C0023186	Learning Disorders
C0023211	Left Bundle-Branch Block
C0149721	Left Ventricular Hypertrophy
C1096403	Left ventricular ejection fraction decreased
C0023212	Left-Sided Heart Failure
C0023223	Leg Ulcer
C0235886	Leg edema
C1510497	Lens Opacities
C0023370	Leriche Syndrome
C0023380	Lethargy
C0948976	Leukaemia cutis
C0856053	Leukemia secondary
C0023467	Leukemia, Myelocytic, Acute
C0023474	Leukemia, Myeloid, Chronic-Phase
C0023480	Leukemia, Myelomonocytic, Chronic
C0023484	Leukemia, Plasma Cell
C0023501	Leukemoid Reaction
C0023510	Leukocyte Disorders
C2973529	Leukocytoclastic vasculitis
C0023518	Leukocytosis
C0270612	Leukoencephalopathies
C0023524	Leukoencephalopathy, Progressive Multifocal
C0023529	Leukomalacia, Periventricular
C0240182	Leukonychia
C0023530	Leukopenia
C0023531	Leukoplakia
C0023532	Leukoplakia, Oral
C0023533	Leukorrhea
C0282548	Leukostasis
C0752347	Lewy Body Disease
C0854382	Libido disorder
C0023646	Lichen Planus
C0162848	Lichenoid Eruptions
C1274594	Lichenoid keratosis
C3495827	Lid sulcus deepened
C0435001	Ligament injury
C0435002	Ligament sprain
C0475746	Light anaesthesia
C0220870	Lightheadedness
C0010263	Limb Cramp
C0206762	Limb Deformities, Congenital
C0239337	Limb deformity
C0854303	Limb discomfort
C0743668	Limb injury
C0587246	Limb paresis
C0265547	Limb reduction defect
C0406650	Linear IgA Bullous Dermatosis
C0152459	Linear atrophy
C0152115	Lingual-Facial-Buccal Dyskinesia
C0858751	Lip blister
C0849835	Lip haemorrhage
C0541923	Lip oedema
C0240211	Lip swelling
C0267033	Lip ulcer (disorder)
C1096303	Lipase abnormal
C0549475	Lipase increased
C0154251	Lipid Metabolism Disorders
C0549634	Lipids abnormal
C0851043	Lipids increased
C1280433	Lipoatrophy
C0023787	Lipodystrophy
C0877192	Lipodystrophy acquired
C0398370	Lipoedema
C1262113	Lipohypertrophy
C0027721	Lipoid nephrosis
C0023794	Lipoidosis
C0023798	Lipoma
C0023801	Lipomatosis
C0023860	Listeriosis
C0568180	Lithium poisoning
C0238242	Lithium toxicity
C0085642	Livedo Reticularis
C0023885	Liver Abscess
C0023890	Liver Cirrhosis
C0023891	Liver Cirrhosis, Alcoholic
C0086565	Liver Dysfunction
C0085605	Liver Failure
C0162557	Liver Failure, Acute
C2239176	Liver carcinoma
C0151763	Liver damage
C0023895	Liver diseases
C0438237	Liver enzymes abnormal
C0151765	Liver fatty deposition
C0438235	Liver function test normal
C0151766	Liver function tests abnormal finding
C0160390	Liver injury
C0023903	Liver neoplasms
C0745761	Liver nodule
C0522067	Liver pain
C0151767	Liver tenderness
C0332579	Lividity
C0032300	Lobar Pneumonia
C0853813	Local reaction
C0853619	Local swelling
C0542075	Local throat irritation
C1868693	Localised intraabdominal fluid collection
C0235018	Localised numbness
C0013609	Localised oedema
C0549452	Localised skin reaction
C0520893	Localized desquamation
C0849913	Localized erythema
C0409962	Localized osteoarthritis
C0497364	Localized rash
C0036420	Localized scleroderma
C0343495	Lockjaw
C3248383	Logorrhoea
C0235632	Loin pain
C0023976	Long QT Syndrome
C1141890	Long QT syndrome congenital
C0701810	Long-term memory loss
C0263530	Longitudinal split nail
C2129214	Loose stool
C1971624	Loss of appetite (finding)
C0549257	Loss of confidence
C0522042	Loss of control of legs
C1112616	Loss of proprioception
C0860453	Loss of skin markings
C0024031	Low Back Pain
C0024032	Low Birth Weights
C0007166	Low Cardiac Output
C0428968	Low QRS voltages finding
C0042798	Low Vision
C1963897	Low birth weight baby
C0549399	Low density lipoprotein increased
C0728725	Low pH
C0239234	Low set ears
C0574785	Lower Urinary Tract Symptoms
C0024050	Lower gastrointestinal hemorrhage
C0149725	Lower respiratory tract infection
C0549374	Lumbar disc lesion
C1263855	Lumbar radiculopathy
C0206062	Lung Diseases, Interstitial
C0600260	Lung Diseases, Obstructive
C0273115	Lung Injury
C0024121	Lung Neoplasms
C0854985	Lung adenocarcinoma stage I
C0153676	Lung cancer metastatic
C0024115	Lung diseases
C0240035	Lung fibrosis interstitial
C0876973	Lung infection
C0235896	Lung infiltration
C0034079	Lung nodule
C0409974	Lupus Erythematosus
C0024137	Lupus Erythematosus, Cutaneous
C0024138	Lupus Erythematosus, Discoid
C0024141	Lupus Erythematosus, Systemic
C0919715	Lupus-like syndrome
C0024198	Lyme Disease
C0272396	Lymph node abscess
C0240273	Lymph node tenderness
C0024205	Lymphadenitis
C0497156	Lymphadenopathy
C0235592	Lymphadenopathy cervical
C0578736	Lymphadenopathy inguinal
C0751674	Lymphangioleiomyomatosis
C0024225	Lymphangitis
C0024228	Lymphatic Diseases
C0024236	Lymphedema
C0024248	Lymphocele
C1266194	Lymphocyte Rich Classical Hodgkin Lymphoma
C0580550	Lymphocyte count abnormal
C0853986	Lymphocyte count decreased
C0853698	Lymphocyte count increased
C1141863	Lymphocyte transformation test positive
C1262091	Lymphocytic infiltration
C0311220	Lymphocytoma cutis
C0024282	Lymphocytosis
C0024291	Lymphohistiocytosis, Hemophagocytic
C0023448	Lymphoid leukemia
C0024299	Lymphoma
C0024305	Lymphoma, Non-Hodgkin
C0079773	Lymphoma, T-Cell, Cutaneous
C0024312	Lymphopenia
C0024314	Lymphoproliferative Disorders
C0333258	Lymphorrhoea
C0221204	Lytic lesion
C0343401	MRSA - Methicillin resistant Staphylococcus aureus infection
C0558143	Macerated skin (finding)
C2225524	Macromastia
C0024440	Macular Edema, Cystoid
C0024441	Macular Holes
C0024437	Macular degeneration
C0694575	Macular fibrosis
C3160840	Macular pigmentation
C0221201	Macular rash
C0271051	Macular retinal edema
C0332573	Macule
C0730362	Maculopathy
C0271321	Madarosis
C1269683	Major Depressive Disorder
C3160769	Major bleed
C0024523	Malabsorption Syndrome
C0231218	Malaise
C0024528	Malaise and fatigue
C0024530	Malaria
C0033949	Male Orgasmic Disorder
C0021364	Male infertility
C1112443	Male sexual dysfunction
C0020540	Malignant Hypertension
C0006826	Malignant Neoplasms
C0019623	Malignant histiocytosis
C0334634	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
C0334492	Malignant mesenchymal tumor
C0006142	Malignant neoplasm of breast
C0007103	Malignant neoplasm of endometrium
C0235653	Malignant neoplasm of female breast
C0153452	Malignant neoplasm of gallbladder
C0685938	Malignant neoplasm of gastrointestinal tract
C0740457	Malignant neoplasm of kidney
C0007107	Malignant neoplasm of larynx
C0345904	Malignant neoplasm of liver
C0242379	Malignant neoplasm of lung
C0153392	Malignant neoplasm of nasopharynx
C1140680	Malignant neoplasm of ovary
C0346647	Malignant neoplasm of pancreas
C0376358	Malignant neoplasm of prostate
C0153618	Malignant neoplasm of renal pelvis
C0007114	Malignant neoplasm of skin
C0024623	Malignant neoplasm of stomach
C0153594	Malignant neoplasm of testis
C0007115	Malignant neoplasm of thyroid
C0153349	Malignant neoplasm of tongue
C0153619	Malignant neoplasm of ureter
C0005684	Malignant neoplasm of urinary bladder
C0948048	Malignant neoplasm progression
C0235770	Malignant ovarian cyst
C1698088	Malignant solid tumour
C0007102	Malignant tumor of colon
C0162429	Malnutrition
C1458155	Mammary Neoplasms
C0262365	Mammogram abnormal
C0338831	Manic
C0151772	Manic psychosis
C0948353	Markedly reduced dietary intake
C0005959	Marrow hyperplasia
C0424448	Mask-like facies
C0024103	Mass in breast
C0577559	Mass of body structure
C0001364	Massive Hepatic Necrosis
C0854372	Mastication disorder
C0024894	Mastitis
C0235667	Mastitis acute female
C0024899	Mastocytosis
C0024902	Mastodynia
C0024904	Mastoiditis
C0520854	Mean arterial pressure decreased
C0428886	Mean blood pressure
C0855791	Mean cell volume increased
C1096368	Mean platelet volume decreased
C0025007	Measles
C0854402	Mechanical complication of implant
C0025061	Mediastinal Diseases
C0025063	Mediastinal Neoplasms
C1112353	Medical device complication
C1096701	Medical device discomfort
C2349423	Medication overuse headache
C1096282	Medication residue
C3665818	Medication residue present
C0025160	Megacolon
C0025162	Megacolon, Toxic
C0007933	Meibomian Cyst
C0549398	Meibomianitis
C0025193	Melancholia
C0027962	Melanocytic nevus
C0221436	Melanoderma
C1142305	Melanonychia
C0025209	Melanosis
C0025222	Melena
C0017665	Membranous glomerulonephritis
C0751295	Memory Loss
C0233794	Memory impairment
C0025274	Menarche
C0085740	Mendelson Syndrome
C0025281	Meniere Disease
C0025286	Meningioma
C0025287	Meningism
C0025289	Meningitis
C0393444	Meningitis chemical
C0085437	Meningitis, Bacterial
C0085436	Meningitis, Cryptococcal
C0025309	Meningoencephalitis
C0025312	Meningomyelocele
C0232943	Menometrorrhagia
C0025319	Menopausal disorder
C0236075	Menopausal symptoms
C0025320	Menopause
C0025323	Menorrhagia
C0232933	Menstrual cycle abnormal
C0919662	Menstrual cycle prolonged
C0312414	Menstrual spotting
C0025345	Menstruation Disturbances
C0240322	Menstruation delayed
C0156404	Menstruation irregular
C0011570	Mental Depression
C0025362	Mental Retardation
C0683278	Mental Suffering
C0858950	Mental aberration
C0917816	Mental deficiency
C0853895	Mental disorder due to a general medical condition
C0004936	Mental disorders
C1306341	Mental handicap
C0856054	Mental status changes
C0267410	Mesenteric artery thrombosis
C0920157	Mesenteric ischemia
C0151815	Mesenteric occlusion
C1412000	Mesenteric vascular insufficiency
C0025500	Mesothelioma
C0005944	Metabolic Bone Disorder
C0025517	Metabolic Diseases
C0524620	Metabolic Syndrome X
C0220981	Metabolic acidosis
C0220983	Metabolic alkalosis
C0025568	Metaplasia
C0494165	Metastases to liver
C0346989	Metastases to peritoneum
C1384494	Metastatic Carcinoma
C2939420	Metastatic Neoplasm
C0278678	Metastatic Renal Cell Cancer
C0860594	Metastatic malignant melanoma
C0220650	Metastatic malignant neoplasm to brain
C0278883	Metastatic melanoma
C0857144	Metastatic pain
C0025637	Methemoglobinemia
C0025874	Metrorrhagia
C0240291	Mg reduced
C0240292	Mg++ increased
C0730345	Microalbuminuria
C0221021	Microangiopathic hemolytic anemia
C0025958	Microcephaly
C0302870	Microcytic
C0221265	Microcytosis
C0859253	Microhemorrhage
C0239937	Microscopic hematuria
C0423736	Micturition burning
C0393761	Middle insomnia
C0149931	Migraine Disorders
C0235890	Migraine aggravated
C0859229	Migration of implant
C0026113	Miliaria
C0162423	Miliaria Rubra
C0345996	Milium Cyst
C1955743	Mineralocorticoid deficiency
C3160770	Minor bleed
C0026205	Miosis disorder
C0000814	Missed abortion
C1096176	Mitochondrial toxicity
C0026266	Mitral Valve Insufficiency
C0152149	Mittelschmerz
C0026272	Mixed Connective Tissue Disease
C0859032	Moaning
C0264907	Mobitz type I incomplete atrioventricular block
C0026393	Molluscum Contagiosum
C0158026	Monarthritis
C0497471	Moniliasis genital female
C1136085	Monoclonal Gammapathies
C0549536	Monocyte count decreased
C0553698	Monocyte count increased
C0085702	Monocytosis
C0344431	Monomorphic ventricular tachycardia
C0235880	Mononeuritis
C0494491	Mononeuropathies
C0270795	Monoparesis
C0085622	Monoplegia
C0525045	Mood Disorders
C0085633	Mood swings
C0860646	Morbid dreams
C0555358	Morbid thoughts
C1527383	Morphea
C0417744	Mosquito bite
C0026603	Motion Sickness
C0234131	Motor dysfunction
C0700075	Motor restlessness
C0424230	Motor retardation
C0026633	Mouth Abnormalities
C0026636	Mouth Diseases
C0026640	Mouth Neoplasms
C0272426	Mouth injury
C0235339	Mouth irritation
C0026650	Movement Disorders
C0006848	Mucocutaneous candidiasis
C0026718	Mucormycosis
C2242595	Mucosal atrophy
C2748540	Mucosal bleeding
C1096311	Mucosal discolouration
C0854113	Mucosal dryness
C0546343	Mucosal erosion
C0854375	Mucosal haemorrhage
C1963822	Mucosal pigmentation
C0236003	Mucosal swelling
C0236053	Mucosal ulceration
C0333355	Mucositis
C0241254	Mucous stools
C0221158	Multifocal atrial tachycardia
C0393847	Multifocal motor neuropathy
C0344432	Multifocal ventricular tachycardia
C0026751	Multiparity
C0026764	Multiple Myeloma
C0026766	Multiple Organ Failure
C0032989	Multiple Pregnancy
C0026769	Multiple Sclerosis
C0740281	Multiple allergies
C0000772	Multiple congenital anomalies
C0016655	Multiple fractures
C0856120	Multiple sclerosis relapse
C0026821	Muscle Cramp
C0242979	Muscle Fatigue
C0026826	Muscle Hypertonia
C0026837	Muscle Rigidity
C0026838	Muscle Spasticity
C0151786	Muscle Weakness
C0235086	Muscle contractions involuntary
C0410158	Muscle damage
C1141893	Muscle enzyme increased
C0877009	Muscle fibrosis
C0151702	Muscle hemorrhage
C0026827	Muscle hypotonia
C0240417	Muscle mass
C0221722	Muscle movement involuntary
C0235957	Muscle necrosis
C1142135	Muscle relaxant therapy
C0026836	Muscle relaxation phase
C0149732	Muscle rupture
C0080194	Muscle strain
C0281913	Muscle swelling
C0877322	Muscle tightness
C0851647	Muscle tone disorder
C0231530	Muscle twitch
C0026846	Muscular Atrophy
C0015644	Muscular fasciculation
C0231527	Muscular incoordination
C0221170	Muscular stiffness
C0685707	Muscular ventricular septal defect
C0026857	Musculoskeletal Diseases
C0026858	Musculoskeletal Pain
C0476280	Musculoskeletal chest pain
C0281914	Musculoskeletal deformity
C0948594	Musculoskeletal discomfort
C0948525	Musculoskeletal stiffness
C0026884	Mutism
C0231528	Myalgia
C0026896	Myasthenia Gravis
C0235905	Myasthenia gravis-like syndrome
C0947912	Myasthenias
C0549225	Myasthenic Syndrome
C0026918	Mycobacterium Infections
C0026919	Mycobacterium Infections, Nontuberculous
C0026916	Mycobacterium avium-intracellulare Infection
C1328428	Mycobacterium test
C0032302	Mycoplasma pneumonia
C0026946	Mycoses
C0026948	Mycosis Fungoides
C0026961	Mydriasis
C0026975	Myelitis
C0026976	Myelitis, Transverse
C0026985	Myelodysplasia
C1963864	Myelodysplastic syndrome transformation
C0026987	Myelofibrosis
C0023470	Myeloid Leukemia
C0023473	Myeloid Leukemia, Chronic
C0027013	Myeloid Metaplasia
C0027022	Myeloproliferative disease
C0854467	Myelosuppression
C0036529	Myocardial Diseases, Secondary
C3241958	Myocardial Disorder
C0027051	Myocardial Infarction
C0151744	Myocardial Ischemia
C0340515	Myocardial depression
C0877077	Myocardial haemorrhage
C3495916	Myocardial hypertrophy
C1442837	Myocardial necrosis
C0948369	Myocardial reinfarction
C0018813	Myocardial rupture
C0027059	Myocarditis
C0027066	Myoclonus
C0027073	Myofascial Pain Syndromes
C0853875	Myoglobin urine present
C1142397	Myoglobinaemia
C0027080	Myoglobinuria
C0026848	Myopathy
C0154769	Myopathy toxic
C0854532	Myopericarditis
C0027092	Myopia
C0858775	Myopia transient
C0027121	Myositis
C0158353	Myositis, Infectious
C0027125	Myotonia
C0027134	Myringitis
C0027145	Myxedema
C0334082	NEVUS, EPIDERMAL (disorder)
C0027339	Nail Diseases
C0853087	Nail abnormality
C0521476	Nail bed infection
C0877183	Nail bed tenderness
C0234909	Nail changes
C0221345	Nail discoloration
C0549229	Nail discomfort
C0263536	Nail hypertrophy
C0343026	Nail infection
C1142520	Nail pigmentation
C0423820	Nail ridging
C0423823	Nail thinning
C1167686	Nail toxicity
C0027343	Nails, Ingrown
C0027404	Narcolepsy
C0027430	Nasal Polyps
C0392788	Nasal Type Extranodal NK/T-Cell Lymphoma
C0542101	Nasal burning
C0027424	Nasal congestion (finding)
C0858259	Nasal discomfort
C0231919	Nasal dryness
C2718128	Nasal inflammation
C0240557	Nasal irritation
C0850060	Nasal itching
C0919894	Nasal mucosal disorder
C0863111	Nasal mucus blood tinged
C0027429	Nasal obstruction present finding
C0853254	Nasal passage irritation
C0549397	Nasal septum deviation
C0151790	Nasal septum disorder
C0264268	Nasal septum ulceration
C0240449	Nasal sinus drainage
C0549293	Nasal soreness
C0264267	Nasal ulcer
C0027438	Nasopharyngeal Diseases
C2931822	Nasopharyngeal carcinoma
C0027441	Nasopharyngitis
C0027497	Nausea
C0549280	Nausea aggravated
C0027531	Neck Injuries
C0007859	Neck Pain
C0240464	Neck oedema of
C0151315	Neck stiffness
C0578454	Neck swelling
C0549343	Neck tightness
C0151626	Necrolysis epidermal
C0027540	Necrosis
C0267953	Necrosis of pancreas
C0948692	Necrotising colitis
C1442826	Necrotising enterocolitis neonatal
C0553548	Necrotizing Arteritis
C0238124	Necrotizing fasciitis
C0854679	Needle injury
C0027562	Negativism
C0851883	Neisseria infection
C0027609	Neonatal Abstinence Syndrome
C0022353	Neonatal Jaundice
C0236101	Neonatal and infancy disorder
C0021290	Neonatal disorder
C0854706	Neonatal infection
C1112613	Neonatal tachypnoea
C0027627	Neoplasm Metastasis
C0236022	Neoplasm malignant aggravated
C0027651	Neoplasms
C0268732	Nephritic syndrome
C0027697	Nephritis
C0027707	Nephritis, Interstitial
C0041349	Nephritis, Tubulointerstitial
C0027709	Nephrocalcinosis
C0162283	Nephrogenic Diabetes Insipidus
C1619692	Nephrogenic Fibrosing Dermopathy
C0392525	Nephrolithiasis
C0595916	Nephropathy toxic
C0027719	Nephrosclerosis
C0027720	Nephrosis
C0027726	Nephrotic Syndrome
C0599918	Nephrotoxicity
C0273482	Nerve compression
C0853150	Nerve conduction studies abnormal
C0161479	Nerve injury
C0262576	Nerve paralysis
C0235919	Nerve root lesion
C0235168	Nervous tremulousness
C0027769	Nervousness
C1536459	Nettle rash
C0027794	Neural Tube Defects
C0155550	Neural hearing loss
C0027796	Neuralgia
C0027813	Neuritis
C0027822	Neurodermatitis
C0206093	Neuroectodermal Tumors
C0162678	Neurofibromatoses
C0005697	Neurogenic Urinary Bladder
C0003892	Neurogenic arthropathy
C0027849	Neuroleptic Malignant Syndrome
C0521654	Neurologic Deficits
C0235031	Neurologic Symptoms
C0235030	Neurologic reaction
C1112537	Neurological examination abnormal
C0027858	Neuroma
C0027868	Neuromuscular Diseases
C0520758	Neuromuscular block prolonged
C1262106	Neuromuscular toxicity
C0442874	Neuropathy
C0027932	Neurotic Disorders
C0235032	Neurotoxicity Syndromes
C0151478	Neurotransmitter level altered
C0027947	Neutropenia
C0549294	Neutropenia aggravated
C0400823	Neutropenic colitis
C1167779	Neutropenic infection
C0877153	Neutropenic sepsis
C0853697	Neutrophil count decreased
C0948333	Neutrophil percentage increased
C3665444	Neutrophilia (disorder)
C0151683	Neutrophilia (finding)
C1142272	Neutrophilic dermatosis
C0027960	Nevus
C0028043	Nicotine Dependence
C0238311	Nicotine poisoning
C0549428	Nicotinic Effect
C0028077	Night Blindness
C0037320	Night Terrors
C0262578	Night cramps
C0028081	Night sweats
C0028084	Nightmares
C0405479	Nipple disorder
C0240515	Nipple pain
C0240520	Nipple swelling
C0240521	Nipple tenderness
C0854100	Nitrogen balance negative
C0028173	Nitrogen, non-protein, increased level result
C0028242	Nocardia Infections
C0028734	Nocturia
